지점명,주소,위도,경도
보라매공원R,"서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)",37.49226212712864,126.92334570798292
이수자이,서울특별시 동작구 사당로 300 (사당동 이수자이),37.484414,126.980047
노량진역,서울특별시 동작구 노량진로 134 (노량진동),37.513390,126.940879
신대방삼거리역,서울특별시 동작구 상도로 102 (상도동),37.499914,126.931766
중앙대,서울특별시 동작구 흑석로 75-1 (흑석동),37.506933,126.958125
숭실대입구역,서울특별시 동작구 상도로 354 (상도동),37.4968346,126.95271230000003
숭실대,서울특별시 동작구 사당로 4 (상도동),37.49538073,126.9548891
사당역,"서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동)",37.47849216,126.9813456
서강대프라자,서울특별시 마포구 백범로 35 (신수동),37.551073,126.943096
상암YTN,서울특별시 마포구 상암산로 76 (상암동),37.579183,126.892315
마포용강동,서울특별시 마포구 토정로 295 (용강동),37.541186,126.942209
홍대입구역사거리R,서울특별시 마포구 양화로 125 (서교동),37.554636,126.92036
마포경찰서후문,서울특별시 마포구 마포대로 173-14 (아현동),37.550800,126.953432
공덕,서울특별시 마포구 마포대로 130 (공덕동),37.545913,126.952956
합정폴리스R,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",37.5509,126.9134
홍대공항철도역,서울특별시 마포구 양화로 178 (동교동),37.557491,126.925146
마포염리,서울특별시 마포구 독막로 311 (염리동),37.543876,126.947680
서강광흥창역,서울특별시 마포구 서강로 69 (창전동),37.549377,126.931661
합정,"서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-2",37.549630,126.912999
서강대흥역,서울특별시 마포구 백범로 89-5 (대흥동),37.548178,126.941576
서교동사거리,서울특별시 마포구 양화로 105 (서교동),37.553376,126.918564
상암사보이시티,서울특별시 마포구 월드컵북로54길 17 (상암동),37.581470,126.888983
신촌오거리,서울특별시 마포구 신촌로16길 10 (노고산동),37.555137,126.934694
상암디지털큐브,서울특별시 마포구 상암산로 34,37.5763132,126.8892477
상수역,서울특별시 마포구 독막로 88 (상수동),37.5474817,126.92321579999998
공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩,37.5424641,126.95057730000008
서교,서울특별시 마포구 양화로 78 (서교동) 서교빌딩 1층,37.551385,126.9169208
서강대,서울특별시 마포구 백범로 23 (신수동),37.5524584,126.9378262
상암MBC,서울특별시 마포구 성암로 267 (상암동),37.581297,126.890908
홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)",37.557175,126.923654
동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)",37.556928,126.919819
애오개역,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)",37.55218737,126.9555203
홍대갤러리,"서울특별시 마포구 와우산로 101, 정명빌딩 (서교동)",37.55328184,126.9248279
상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)",37.577623,126.890684
마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)",37.54043451,126.9463168
마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워,37.54145556,126.948819
홍대삼거리,서울특별시 마포구 와우산로 64 (상수동),37.550266,126.923179
망원역,서울특별시 마포구 월드컵로 74 (서교동),37.555829,126.910637
마포이마트,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트,37.542421,126.953341
합정메세나몰,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",37.551004,126.913848
홍대역8번출구,서울특별시 마포구 양화로 166 (동교동),37.556743503599,126.924166543608
가재울뉴타운,서울특별시 서대문구 가재울미래로 2 ,37.5749841,126.9164441
남가좌사거리,"서울특별시 서대문구 거북골로 84 (남가좌동, DMC에코자이104동)",37.577386,126.920815
신촌역,서울특별시 서대문구 신촌로 73 (창천동),37.556167,126.934673
연희동,서울특별시 서대문구 연희로 97 (연희동),37.566702,126.930475
아현역,"서울특별시 서대문구 신촌로35길 10 (북아현동, E편한세상신촌 4단지)",37.558421,126.956349
홍제역,서울특별시 서대문구 통일로 451 (홍제동),37.588658,126.943864
연세백양로,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교,37.562644,126.937529
연희DT,서울특별시 서대문구 연희로 144 (연희동),37.5702143,126.9339777
경기대,서울특별시 서대문구 충정로 53 (충정로2가),37.56367995,126.9646045
신촌,서울특별시 서대문구 연세로 10-1 (창천동),37.55648577,126.9371155
이대R,서울특별시 서대문구 이화여대길 34 (대현동),37.55848315,126.9459643
연세종합관,"서울특별시 서대문구 연세로 50, 연세세브란스 종합관 (신촌동)",37.56177145,126.9414708
